id:301949	 电力电子技术基础
id:301950	 电气控制与PLC原理及应用
id:301951	 电气控制与PLC原理及应用
id:301953	 现场总线技术
id:301962	 课程设计基础实验
id:301964	 材料分析基础
id:301965	 中国哲学经典著作选读
id:301966	 中国哲学经典著作选读
id:301967	 中国哲学经典著作选读
id:301968	 中国哲学经典著作选读
id:301970	 人工智能与专家系统
id:301971	 人工智能与专家系统
id:301972	 人工智能与专家系统
id:301973	 综合（专题）课程设计
id:301974	 综合（专题）课程设计
id:301975	 综合（专题）课程设计
id:301976	 综合（专题）课程设计
id:301977	 综合（专题）课程设计
id:301978	 综合（专题）课程设计
id:301979	 综合（专题）课程设计
id:301980	 综合（专题）课程设计
id:301981	 综合（专题）课程设计
id:301982	 课程设计基础实验
id:301983	 课程设计基础实验
id:301984	 数据采集与处理技术
id:301985	 创业管理
id:301986	 计算电磁学前沿
id:301987	 四旋翼无人机控制理论与设计
id:301988	 频率源技术前沿讲座
id:301989	 图像科学中的数学方法与人工智能技术
id:301990	 数字视觉视频技术及应用
id:301991	 量子物理与哲学
id:301992	 微处理器系统结构与嵌入式系统设计
id:301993	 微处理器系统结构与嵌入式系统设计
id:301994	 微处理器系统结构与嵌入式系统设计
id:301995	 微处理器系统结构与嵌入式系统设计
id:301997	 经济学概论
id:301998	 创业管理
id:302003	 工程数学
id:302008	 工程数学
id:302009	 工程数学
id:302034	 微处理器系统结构与嵌入式系统设计
id:302035	 微处理器系统结构与嵌入式系统设计
id:302037	 大数据与精准医学
id:302049	 军事理论
id:302050	 工程数学
id:302051	 军事理论
id:302052	 军事理论
id:302057	 军事理论
id:302058	 军事理论
id:302059	 高级语言程序设计
id:302060	 高级语言程序设计
id:302061	 高级语言程序设计
id:302062	 形势与政策
id:302065	 军事理论
id:302077	 军事理论
id:302082	 形势与政策
id:302103	 军事理论
id:302117	 形势与政策
id:302118	 形势与政策
id:302121	 形势与政策
id:302122	 形势与政策
id:302146	 形势与政策
id:302151	 形势与政策
id:302152	 形势与政策
id:302168	 数据挖掘
id:302171	 纳米光子学研究前沿
id:302172	 硅基光电子器件的挑战与机遇
id:302173	 光电器件与材料技术前沿
id:302177	 基础工程训练I
id:302178	 基础工程训练I
id:302179	 信号与系统
id:302180	 信号与系统
id:302181	 信号与系统
id:302182	 信号与系统
id:302183	 信号与系统
id:302184	 信号与系统B
id:302185	 信号与系统B
id:302186	 信号与系统
id:302187	 信号与系统
id:302188	 信号与系统
id:302189	 学术规范与论文写作
id:302191	 数据结构与算法
id:302192	 数据结构与算法
id:302193	 数据结构与算法
id:302194	 数据结构与算法
id:302195	 数据结构与算法
id:302196	 电路分析与模拟电路
id:302197	 计算机病毒原理与防范
id:302198	 信号与系统B
id:302202	 信号与系统B
id:302203	 信号与系统B
id:302204	 信号与系统B
id:302205	 信号与系统B
id:302210	 固体与半导体物理
id:302211	 固体与半导体物理
id:302212	 固体与半导体物理
id:302213	 固体与半导体物理
id:302214	 信号与系统
id:302215	 信号与系统
id:302216	 信号与系统
id:302217	 信号与系统
id:302218	 光电图像处理系统实验
id:302219	 俄语语言基础与俄罗斯文化(初级班)
id:302220	 俄语口语
id:302221	 德语基础与德国文化Ⅰ级
id:302222	 德语Ⅰ级
id:302223	 日语Ⅰ
id:302224	 日本语与日本文化（1）
id:302225	 西点“糕笑”
id:302226	 意大利语速成
id:302227	 计算机组装与维护实训
id:302228	 个人展示能力实训
id:302229	 大众传媒与文化传播(英语）
id:302233	 工程管理
id:302234	 工程管理
id:302237	 创业管理
id:302238	 跨界创新
id:302239	 全球化供应链管理前沿
id:302240	 信号与系统
id:302241	 物理光学
id:302242	 物理光学
id:302243	 物理光学
id:302244	 物理光学
id:302245	 物理光学
id:302246	 跨界创新
id:302247	 微波技术基础
id:302248	 微波技术基础
id:302249	 微波技术基础
id:302250	 大学生学习生涯规划
id:302251	 大学生学习生涯规划
id:302253	 光机电软算一体化
id:302254	 机器视觉算法及应用
id:302255	 照明设计基础
id:302256	 计算机网络
id:302257	 光电图像处理
id:302258	 光电图像处理
id:302259	 计算机系统与网络安全技术
id:302260	 计算机组成与结构
id:302266	 光学工程与精密仪器
id:302267	 数字逻辑电路与系统
id:302268	 数字逻辑电路与系统
id:302269	 数字逻辑电路与系统
id:302270	 高频与射频电路
id:302274	 量子力学与统计物理
id:302275	 量子力学与统计物理
id:302276	 数值计算方法
id:302277	 数值计算方法
id:302278	 数值计算方法
id:302279	 强流电子束与离子束
id:302280	 信息论基础
id:302281	 信息论基础
id:302282	 信息论基础
id:302283	 信息论基础
id:302284	 信息论基础
id:302285	 信息论基础
id:302286	 信息论基础
id:302287	 信息论基础
id:302288	 信息论基础
id:302289	 信息论基础
id:302290	 数字逻辑电路与系统
id:302291	 数字逻辑电路与系统
id:302292	 数字逻辑电路与系统
id:302293	 数字逻辑电路与系统
id:302294	 通信原理
id:302295	 通信原理
id:302296	 通信原理
id:302297	 通信原理
id:302298	 通信原理
id:302299	 通信原理
id:302300	 通信原理
id:302301	 通信原理
id:302302	 通信原理
id:302303	 热力学与统计物理学
id:302304	 数学物理建模与计算机辅助设计
id:302305	 计算机组成原理
id:302306	 计算机组成原理
id:302307	 计算机组成原理
id:302308	 计算机组成原理
id:302309	 计算机组成原理
id:302310	 软件工程及应用（Java）
id:302311	 软件工程及应用（Java）
id:302312	 嵌入式系统及应用
id:302313	 嵌入式系统及应用
